Field_Number	brew_tra_14	brew_tra_14	brew_tra_7	brew_tra_7	climate_08	climate_08	climate_16	climate_16	climate_24	climate_24	ext_pure_Kern_8	ext_pure_Kern_8	ext_tra_10	ext_tra_10	ext_tra_3	ext_tra_3	Kern_SD_2	Kern_SD_2	tra_EW_4	tra_EW_4	WM_ext_3	WM_ext_3	WM_Kern_5	WM_Kern_5	brew_tra_15	brew_tra_15	brew_tra_8	brew_tra_8	climate_09	climate_09	climate_17	climate_17	ext_pure_Kern_1	ext_pure_Kern_1	ext_pure_Kern_9	ext_pure_Kern_9	ext_tra_11	ext_tra_11	ext_tra_4	ext_tra_4	Kern_SD_3	Kern_SD_3	tra_EW_5	tra_EW_5	WM_ext_4	WM_ext_4	WM_Kern_6	WM_Kern_6	brew_tra_16	brew_tra_16	brew_tra_9	brew_tra_9	climate_10	climate_10	climate_18	climate_18	ext_pure_Kern_2	ext_pure_Kern_2	ext_pure_SD_1	ext_pure_SD_1	ext_tra_12	ext_tra_12	ext_tra_5	ext_tra_5	Kern_SD_4	Kern_SD_4	tra_EW_6	tra_EW_6	WM_ext_5	WM_ext_5	WM_Kern_7	WM_Kern_7	brew_tra_2	brew_tra_2	climate_01	climate_01	climate_11	climate_11	climate_19	climate_19	ext_pure_Kern_3	ext_pure_Kern_3	ext_pure_SD_2	ext_pure_SD_2	ext_tra_13	ext_tra_13	ext_tra_6	ext_tra_6	Kern_SD_5	Kern_SD_5	tra_EW_7	tra_EW_7	WM_ext_6	WM_ext_6	WM_SD_1	WM_SD_1	brew_tra_3	brew_tra_3	climate_02	climate_02	climate_12	climate_12	climate_20	climate_20	ext_pure_Kern_4	ext_pure_Kern_4	ext_pure_SD_3	ext_pure_SD_3	ext_tra_14	ext_tra_14	ext_tra_7	ext_tra_7	Kern_SD_7	Kern_SD_7	tra_EW_8	tra_EW_8	WM_Kern_1	WM_Kern_1	WM_SD_2	WM_SD_2	brew_tra_4	brew_tra_4	climate_03	climate_03	climate_13	climate_13	climate_21	climate_21	ext_pure_Kern_5	ext_pure_Kern_5	ext_pure_SD_4	ext_pure_SD_4	ext_tra_15	ext_tra_15	ext_tra_8	ext_tra_8	tra_EW_1	tra_EW_1	tra_EW_9	tra_EW_9	WM_Kern_2	WM_Kern_2	WM_SD_3	WM_SD_3	brew_tra_5	brew_tra_5	climate_04	climate_04	climate_14	climate_14	climate_22	climate_22	ext_pure_Kern_6	ext_pure_Kern_6	ext_pure_SD_5	ext_pure_SD_5	ext_tra_16	ext_tra_16	ext_tra_9	ext_tra_9	tra_EW_2	tra_EW_2	WM_ext_1	WM_ext_1	WM_Kern_3	WM_Kern_3	WM_SD_4	WM_SD_4	brew_tra_6	brew_tra_6	climate_06	climate_06	climate_15	climate_15	climate_23	climate_23	ext_pure_Kern_7	ext_pure_Kern_7	ext_tra_1	ext_tra_1	ext_tra_2	ext_tra_2	Kern_SD_1	Kern_SD_1	tra_EW_3	tra_EW_3	WM_ext_2	WM_ext_2	WM_Kern_4	WM_Kern_4	WM_SD_5	WM_SD_5
2240-94365	2	4	1	1	0	0	0	0	2	2	3	1	3	3	2	4	2	2	4	4	2	1	4	2	1	1	4	4	2	1	1	2	3	1	1	1	1	2	2	2	3	3	2	2	3	3	2	2	3	1	2	2	4	2	4	4	2	2	2	2	2	2	1	1	2	2	1	2	1	3	3	3	3	3	1	1	2	2	2	2	3	3	3	3	2	2	1	3	3	3	3	4	2	2	4	2	2	4	4	4	2	2	3	3	1	1	3	3	4	4	4	2	0	0	4	2	2	2	4	4	4	2	2	2	2	2	3	3	2	2	4	4	3	1	2	4	1	1	3	3	2	3	4	2	1	1	3	3	3	3	4	4	2	2	3	3	3	1	1	1	4	4	1	1	0	0	1	1	2	3	3	3	4	2	3	3	3	3	3	1	4	2	3	3	3	1	1	1	3	3	2	2
2240-94367	2	2	1	1	0	0	0	0	4	4	1	1	3	3	2	2	2	2	2	2	2	2	4	4	1	1	4	2	2	2	1	2	3	3	1	1	1	1	2	4	3	3	2	2	3	1	2	2	1	1	2	2	4	4	4	4	4	4	2	2	4	4	3	3	2	2	1	1	3	3	1	3	1	1	1	1	4	2	2	2	3	3	1	3	2	2	3	3	3	3	3	3	4	4	2	2	2	2	4	2	2	2	3	3	1	3	3	1	4	4	4	4	0	0	4	4	4	4	4	4	2	2	2	2	2	2	3	3	2	2	4	4	3	1	2	4	3	3	3	3	2	2	2	2	1	3	1	3	3	3	4	4	2	2	3	3	3	1	1	1	4	4	4	1	0	0	3	3	2	2	3	4	4	2	3	3	3	1	3	3	4	4	3	1	3	3	3	3	1	3	2	2
2240-94395	2	2	1	1	0	0	0	0	2	2	3	1	3	3	2	2	2	2	4	4	2	2	2	2	3	1	4	2	1	1	2	2	3	1	1	1	1	1	4	4	1	3	2	4	3	3	2	2	3	1	2	2	4	2	4	4	2	4	2	2	4	2	3	3	2	2	2	2	1	1	1	1	1	1	1	1	4	2	2	2	1	3	3	3	2	2	3	3	3	1	3	4	2	2	2	2	4	4	4	2	2	2	3	3	1	3	3	3	2	2	4	4	0	0	4	4	4	2	1	4	2	2	2	2	2	2	3	2	1	2	4	4	1	1	4	4	3	3	3	1	2	2	4	2	3	3	3	3	3	3	4	4	2	2	3	1	1	1	1	1	3	4	1	1	0	0	1	1	3	3	3	3	4	2	3	3	3	3	3	3	4	4	3	1	1	1	1	1	3	3	2	4
2330-99704	2	2	1	3	0	0	0	0	2	2	3	3	1	1	4	4	2	2	2	2	2	1	4	4	1	1	4	2	2	1	1	1	1	1	1	1	1	2	2	2	3	3	2	2	3	3	2	2	3	1	2	2	4	2	4	4	2	4	2	2	4	2	1	1	2	2	1	1	1	1	3	3	1	1	1	1	4	4	2	2	3	3	3	3	2	2	3	3	3	3	3	4	2	2	2	2	2	2	4	4	2	2	3	3	1	1	3	3	4	4	4	4	0	0	4	4	4	4	4	4	4	2	2	2	2	2	3	3	2	2	4	4	1	1	2	4	1	1	1	1	2	3	4	2	1	3	1	3	3	3	4	4	2	2	3	3	1	1	3	1	4	4	1	1	0	0	3	3	2	2	3	4	4	4	2	2	3	3	1	1	2	2	3	3	1	1	3	3	3	3	2	2
2330-99706	2	2	1	1	0	0	0	0	4	2	3	1	3	3	2	2	2	2	4	2	2	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	4	4	3	3	2	4	3	3	2	2	1	1	2	2	4	4	4	1	2	2	2	2	4	4	3	3	4	2	1	2	1	3	1	3	1	1	1	1	4	2	2	2	3	3	1	3	2	2	1	1	1	1	3	4	2	2	2	2	2	4	4	2	2	2	3	3	1	1	3	3	4	4	4	4	0	0	4	4	2	2	4	4	2	2	2	2	2	2	3	3	1	2	4	4	1	1	4	4	3	3	1	1	2	2	4	2	3	3	1	3	1	3	4	4	2	2	3	3	1	1	1	1	4	4	1	1	0	0	3	3	3	3	4	4	4	2	2	2	3	1	3	3	4	4	3	3	3	1	1	1	3	3	2	2
2330-99708	2	2	1	1	0	0	0	0	4	4	1	1	1	3	2	2	2	2	2	2	2	2	2	2	1	1	4	4	2	2	1	1	1	1	3	1	1	2	2	4	3	3	2	2	3	1	2	2	3	3	2	2	4	2	1	1	4	4	2	2	2	2	3	3	2	2	1	2	1	1	1	1	1	1	1	3	4	2	2	2	3	3	3	3	2	2	3	3	3	1	3	4	2	2	4	2	4	4	4	2	2	2	3	1	1	1	3	3	4	2	4	2	0	0	4	4	2	2	1	4	2	2	4	2	2	2	3	2	2	2	4	4	1	1	4	4	3	3	3	3	2	3	4	2	3	3	3	3	1	3	3	4	2	2	3	3	1	1	1	1	3	3	1	1	0	0	3	3	3	3	3	3	4	4	3	3	3	3	3	1	4	4	1	1	1	1	1	1	3	3	2	2
2330-99709	2	2	1	1	0	0	0	0	2	2	3	1	1	3	2	2	2	2	4	2	2	2	2	2	1	1	2	2	2	2	1	2	1	1	3	1	1	1	4	4	3	3	2	2	3	3	2	2	3	3	2	2	2	2	4	4	4	4	2	2	4	2	3	3	4	2	1	1	1	1	1	1	1	1	1	1	4	2	2	2	3	3	3	3	2	2	1	3	3	3	4	4	4	4	4	2	4	4	4	4	2	2	3	3	1	1	3	3	2	2	4	2	0	0	4	2	2	2	4	4	4	2	2	2	2	2	3	3	1	2	4	4	3	1	4	4	3	3	3	3	2	3	2	2	1	3	3	3	1	3	4	4	2	2	3	3	1	1	1	1	3	3	1	1	0	0	1	1	3	3	3	3	4	4	3	3	3	3	1	1	4	4	3	1	3	3	1	1	3	3	2	4
2330-99713	0	0	1	3	0	0	0	0	2	2	3	1	3	3	2	4	2	2	4	2	2	1	4	4	1	1	4	2	2	2	1	2	3	1	1	1	1	2	2	4	3	3	2	4	3	3	2	2	3	1	2	4	4	2	4	1	4	4	2	2	0	0	1	1	2	2	0	0	1	3	1	3	3	1	1	1	4	4	2	2	1	3	3	3	2	4	1	3	3	1	3	3	4	2	4	2	2	4	4	2	2	2	3	3	1	3	3	1	4	2	4	2	0	0	4	2	4	2	4	4	4	2	2	2	2	2	3	3	1	2	4	4	3	1	2	4	3	3	1	1	2	3	4	2	1	1	1	3	3	3	4	4	2	2	3	3	3	3	3	1	3	4	4	1	0	0	3	1	2	2	3	4	4	2	3	2	3	3	3	1	4	2	3	1	3	1	1	1	3	3	2	2
2330-99715	2	2	1	1	0	0	0	0	4	4	1	1	3	3	2	2	2	2	2	2	2	1	2	2	1	1	4	2	2	2	2	2	1	1	1	1	1	1	4	4	3	3	2	2	3	3	2	2	3	1	2	2	4	2	4	1	4	4	2	2	4	2	3	3	2	2	1	2	1	3	1	1	3	1	1	3	4	2	2	2	1	1	3	3	2	2	3	3	3	3	3	4	4	2	2	2	4	4	2	2	2	2	3	3	1	1	3	1	4	4	2	2	0	0	4	2	4	4	4	4	2	2	2	2	2	2	3	2	1	2	4	2	1	1	4	4	3	3	3	1	3	3	4	2	3	3	3	3	3	3	4	4	2	2	3	3	3	1	1	1	4	4	1	1	0	0	1	1	3	3	3	3	4	4	3	2	3	3	3	3	4	4	3	1	3	1	3	3	3	3	2	2
2330-99717	2	2	1	1	0	0	0	0	4	2	1	1	3	3	2	2	2	2	4	2	2	2	4	4	1	1	2	2	2	2	2	2	1	1	3	1	1	1	4	4	3	3	2	2	3	3	2	2	1	1	2	2	4	2	4	4	2	4	2	2	4	2	3	3	2	2	2	2	3	3	1	3	3	1	1	1	4	2	2	2	3	3	3	3	2	4	3	3	3	3	3	4	2	2	4	2	2	4	4	2	2	2	3	3	1	1	3	3	4	2	4	4	0	0	4	4	4	2	4	4	2	2	4	4	2	2	2	2	2	2	4	2	1	1	2	4	3	1	3	1	2	2	2	2	1	3	3	3	1	3	4	4	2	2	3	1	1	1	1	1	4	4	1	1	0	0	1	1	2	2	3	3	4	4	3	3	3	1	3	1	4	4	3	1	3	3	1	1	1	3	2	4
